,0,1,2,3,4,5
0,0.713542,1.039321,0.66104,1.062839,0.923611,0.604136
1,0.406251,0.436439,0.356249,0.43318,0.754583,0.512787
2,1.083334,0.569445,1.1875,0.645834,0.3125,0.8125
3,1.279445,0.821997,0.75,0.975823,0.821997,0.808332
4,0.328125,0.934417,0.803677,0.930706,0.4352,0.586446
5,0.839641,0.958225,0.845789,0.74479,0.482291,1.079919
6,0.555554,0.591665,0.269375,0.880801,0.309174,0.59122
7,1.528487,1.045001,0.538208,0.593611,0.669212,0.566695
8,0.598957,0.714434,0.28125,0.489583,1.192491,0.696527
9,0.840903,0.673273,0.588542,1.010792,1.820449,0.617498
10,0.691481,0.71875,1.927082,1.001734,1.116813,0.317207
11,0.621528,0.796874,1.802082,1.340278,1.170385,0.489583
12,1.062496,0.437499,0.625,1.041661,0.882716,0.937499
13,1.141112,0.972305,1.020832,1.650823,0.597789,0.6375
14,0.731666,1.012152,0.578125,0.658749,1.379314,0.890624
15,1.074652,0.880485,0.687854,0.954135,1.162704,0.612355
16,0.917082,2.078123,1.364583,1.136157,0.770832,0.406249
17,0.348477,0.61296,1.178684,0.99176,1.390001,0.138022
18,0.696896,0.797176,0.503124,1.307291,0.631573,1.594928
19,0.622915,1.689582,1.343809,1.232638,0.47439,1.227676
20,0.437498,0.843749,1.835069,1.152777,1.33795,0.999999
21,0.391512,0.989584,1.366319,0.960068,1.668819,0.833333
22,0.456595,0.03125,0.969224,1.110535,0.779723,0.682125
23,0.637054,0.655748,0.875957,1.376281,1.657821,0.702706
24,0.209028,0.400416,0.679236,0.679861,0.184028,0.230903
25,0.057292,0.015625,0.182987,0.357639,0.156945,0.125695
26,0.125,0.125,0.8125,0.125,0.125,0.1875
27,0.791666,0.125,0.8125,0.791666,0.125,0.1875
28,0.131946,0.0625,1.027499,0.194445,0.0625,0.921874
29,0.668403,0.263002,1.274999,0.668403,0.200502,1.1875
30,0.015625,0.015625,0.11007,0.422569,0.234791,0.459026
31,0.970001,0.240278,0.384653,0.548055,0.283526,0.233944
32,0.0625,0.131946,0.880208,0.0625,0.194446,0.977501
33,0.730903,0.200502,1.442708,0.668403,0.200502,0.690622
34,0.090278,0.546945,0.125,0.090278,0.546945,1.250001
35,0.090278,0.183611,0.125,0.090278,0.183611,1.25
36,0.777778,0.215278,1.0,0.840277,0.277778,0.499999
37,0.277778,0.277777,1.187499,0.840278,0.215278,0.375
38,0.699653,0.276891,0.970484,0.762152,0.276891,0.765624
39,0.194446,0.194445,1.234652,0.194446,0.131946,0.662498
40,0.262153,0.319819,0.790834,0.474028,0.617985,0.275694
41,0.316041,0.157917,0.316766,0.015625,0.837153,0.118403
42,0.762152,0.214392,0.919374,0.762153,0.276891,1.000001
43,0.194446,0.194445,0.734375,0.131946,0.194445,1.171872
44,0.090278,0.216945,0.222222,0.152779,0.279444,0.6875
45,0.090278,0.471945,0.222222,0.152779,0.152778,0.944444
46,0.015625,0.015625,0.161458,0.304648,0.628819,0.431945
47,0.298457,0.230903,0.209028,0.159028,1.012569,0.592362
48,0.759452,1.242656,0.54236,0.61111,0.496528,0.759895
49,0.619999,1.490664,0.143611,0.61486,0.806789,0.33852
50,0.781945,1.061807,1.213542,0.631318,0.735832,0.762151
51,0.636043,1.440625,2.109527,1.308816,0.568237,1.127084
52,1.421182,0.465278,1.342708,0.874999,1.0,1.07986
53,0.860585,0.888542,1.107427,1.296249,0.599751,1.130207
54,1.193255,1.011069,0.143611,0.143611,0.574028,0.694283
55,0.892092,1.166753,0.479861,0.415159,0.584027,0.636904
56,0.403252,1.193532,0.338431,1.693123,0.738239,0.798681
57,0.531249,1.110288,0.468749,1.658463,0.624075,0.125
58,1.156343,0.769791,1.425001,0.395832,1.431672,0.977975
59,0.5,0.625,1.9375,1.045138,0.901389,0.1875
60,1.142709,1.40039,1.321537,0.432424,0.810254,1.284721
61,0.915543,1.190272,1.727429,0.977911,0.619939,0.9375
62,0.746875,1.227751,0.42724,1.731343,0.711258,0.541665
63,0.327986,0.782738,0.359584,1.341104,0.409245,0.1875
64,1.115026,0.875,1.370834,0.842896,1.33333,1.315278
65,0.2575,0.125,1.766668,0.662704,0.687499,0.530553
66,0.991654,0.737847,0.871194,0.772817,0.831367,0.887151
67,0.901239,1.170991,1.029302,0.941167,0.918923,1.191725
68,1.085232,0.637499,1.215274,0.62761,1.367884,0.708332
69,0.593749,0.312499,1.562499,0.479164,1.454899,0.388607
70,1.187498,0.75,1.063885,0.999998,0.966668,1.23111
71,0.59065,0.368055,1.666667,0.697145,0.430555,0.548327
72,0.780505,0.891831,0.796874,1.005506,0.350695,0.550346
73,0.245784,0.602711,0.328125,0.778889,0.293403,0.143403
74,0.744209,1.088598,1.717984,1.817426,0.71115,0.683334
75,0.998863,0.676139,0.957472,2.208681,0.545211,0.947986
76,0.168403,0.911391,1.11979,0.168403,0.143403,0.578125
77,0.509257,0.671388,1.25,0.541249,0.1875,0.871874
78,0.973958,0.711322,0.504375,0.957292,0.799235,0.757846
79,0.319444,0.388638,0.617709,0.678572,0.430556,0.439931
80,0.8169,1.444789,0.562499,2.010414,0.883331,0.520832
81,0.459028,0.503484,0.413194,1.54932,0.399444,0.293403
82,0.284722,0.829462,0.806548,0.28125,1.032407,0.756943
83,0.284722,0.495534,0.374999,0.0625,0.817129,0.1875
84,1.223681,1.066997,1.545834,1.007653,0.713774,0.966318
85,0.826458,0.474272,0.831994,1.889111,0.46285,1.174651
86,1.24752,1.384803,1.049999,2.081247,0.727501,0.732638
