,0,1,2
0,-8,0,0
1,-8,0,16
2,-8,0,8
3,-8,0,0
4,0,0,0
5,0,0,8
6,0,0,0
7,0,0,0
8,0,0,16
9,0,0,0
10,0,0,8
11,0,0,16
12,0,0,8
13,0,0,0
14,0,0,8
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,16
20,0,0,0
21,0,0,16
22,0,0,8
23,0,0,0
24,0,0,8
25,0,0,0
26,0,0,8
27,0,0,16
28,0,0,0
29,0,0,8
30,0,0,8
31,0,0,0
32,0,0,0
33,0,0,-8
34,0,0,8
35,0,0,16
36,0,0,0
37,0,0,16
38,0,0,0
39,0,0,8
40,0,0,16
41,0,0,8
42,0,0,8
43,0,0,8
44,0,0,8
45,0,0,0
46,0,0,16
47,0,0,-8
48,0,0,-8
49,0,0,16
50,0,0,8
51,0,0,16
52,0,-8,32
53,0,-8,16
54,0,0,0
55,0,0,8
56,0,0,8
57,0,0,0
58,0,-8,8
59,0,-8,8
60,0,0,8
61,0,0,16
62,0,0,8
63,0,0,16
64,0,0,16
65,0,0,-8
66,0,0,8
67,0,0,16
68,0,0,16
69,0,0,0
70,0,-8,16
71,0,-8,8
72,0,0,0
73,0,0,0
74,0,0,16
75,0,0,0
76,0,0,16
77,0,0,8
78,0,0,-8
79,0,0,16
80,0,0,8
81,0,0,16
82,0,-8,32
83,0,-8,16
84,0,16,0
85,0,16,16
86,0,16,8
87,0,16,0
88,0,16,0
89,0,16,16
90,0,16,0
91,16,16,0
92,8,16,16
93,16,0,0
94,8,8,16
95,8,0,16
96,8,8,8
97,0,16,0
98,0,0,8
99,0,8,0
100,0,16,8
101,0,16,8
102,0,0,8
103,0,8,32
104,-16,16,0
105,-16,16,16
106,-16,16,8
107,0,16,0
108,0,16,8
109,-8,0,0
110,8,8,0
111,0,0,16
112,8,8,0
113,-16,16,8
114,-16,0,8
115,0,8,0
116,-16,16,0
117,-16,16,-8
118,-16,0,0
119,0,8,16
120,0,16,0
121,-8,16,16
122,0,0,0
123,-8,8,16
124,-8,0,16
125,-8,8,8
126,0,16,0
127,0,16,8
128,-8,0,0
129,8,8,0
130,0,0,8
131,8,8,-8
132,0,0,-8
133,0,8,16
134,-8,0,0
135,-8,8,16
136,0,-8,16
137,-8,-8,16
138,0,0,0
139,0,8,0
140,-8,0,8
141,0,8,0
142,-8,-8,0
143,0,-8,0
144,-16,16,8
145,-16,0,16
146,-16,8,8
147,-16,16,8
148,-16,0,8
149,0,8,-8
150,0,0,8
151,0,8,8
152,-8,0,16
153,0,8,0
154,-8,-8,8
155,0,-8,0
156,-16,8,8
157,-16,0,8
158,-16,0,32
159,-16,8,0
160,-16,0,0
161,0,0,16
162,0,0,-8
163,0,0,16
164,-8,0,0
165,-8,0,16
166,0,-8,16
167,-8,-8,16
168,0,0,8
169,0,0,0
170,0,0,-8
171,0,0,0
172,0,0,16
173,0,0,0
174,0,0,0
175,-8,0,16
176,0,0,0
177,-8,0,16
178,8,8,0
179,0,0,0
180,8,8,0
181,-16,0,0
182,-16,0,0
183,0,8,0
184,0,0,0
185,-16,0,0
186,-16,0,16
187,0,8,0
188,-16,0,8
189,-16,0,8
190,-16,0,0
191,0,0,8
192,0,0,8
193,16,0,8
194,8,8,8
195,8,0,0
196,8,8,0
197,-16,0,0
198,0,0,0
199,0,8,0
200,-16,0,0
201,-16,0,0
202,0,0,8
203,0,8,8
204,-8,0,0
205,0,0,-8
206,-8,0,0
207,-8,8,-8
208,0,0,-8
209,-8,8,-8
210,0,0,0
211,0,0,-8
212,16,0,0
213,8,8,-8
214,8,0,-8
215,8,8,-8
216,-16,0,0
217,0,8,-8
218,-8,0,0
219,16,8,-8
220,8,-8,-8
221,16,-8,-8
222,-16,0,-8
223,0,8,-8
224,-8,0,-8
225,8,8,-8
226,16,-8,-8
227,8,-8,-8
228,-16,-8,-8
229,-16,0,-8
230,-16,0,-8
231,-16,-8,-8
232,0,0,-8
233,0,0,-8
234,-16,0,-8
235,0,0,-8
236,-8,0,-8
237,8,0,-8
238,16,-8,-8
239,8,-8,-8
240,-16,0,0
241,-16,0,16
242,-16,8,8
243,-16,0,0
244,0,0,16
245,0,8,8
246,-16,0,16
247,0,8,8
248,-8,0,16
249,16,8,8
250,8,-8,8
251,16,-8,8
252,0,-8,0
253,0,0,0
254,16,0,0
255,8,0,0
256,8,8,0
257,0,-8,0
258,0,0,0
259,0,16,0
260,0,8,0
261,-8,0,0
262,0,0,0
263,8,8,0
264,-16,-8,0
265,0,8,0
266,16,16,0
267,8,8,0
268,8,16,0
269,-8,-8,0
270,0,0,0
271,8,16,0
272,-8,-8,0
273,0,8,0
274,8,0,0
275,-8,-8,0
276,-8,0,0
277,16,8,0
278,0,0,0
279,0,8,0
280,-16,-16,0
281,0,8,0
282,-16,0,0
283,-16,0,8
284,0,0,0
285,0,0,8
286,8,0,8
287,-16,-8,8
288,0,0,8
289,0,0,0
290,-8,0,8
291,-8,16,0
292,0,-8,0
293,0,0,8
294,8,16,8
295,0,-8,0
296,0,8,0
297,-8,0,8
298,0,-8,8
299,0,0,0
300,0,0,8
301,-16,-8,8
302,-16,8,0
303,-16,-16,8
304,0,8,8
305,-8,0,-16
306,0,0,-8
307,-8,0,-8
308,0,16,-16
309,0,8,-8
310,8,0,-8
311,-16,-8,-16
312,0,0,-8
313,16,0,-8
314,-16,-8,-8
315,0,8,-8
316,8,0,-8
317,-16,-8,-8
318,-16,0,-8
319,-16,0,-8
320,0,0,-8
321,-8,-8,0
322,0,16,0
323,-8,-8,8
324,0,0,0
325,0,8,0
326,-8,-8,8
327,-16,-16,0
328,0,8,8
329,16,16,8
330,-16,-8,0
331,0,-8,8
332,-8,-8,8
333,-8,-8,-8
334,-8,8,-16
335,0,0,-8
336,0,0,-8
337,0,8,-16
338,0,0,-8
339,-16,-16,-8
340,0,8,-8
341,8,8,-8
342,-16,-8,-16
