,0,1,2
0,0,0,0
1,0,0,1
2,1,0,1
3,1,0,0
4,1,1,0
5,1,1,1
6,1,1,1
7,1,1,0
8,0,0,1
9,0,0,0
10,1,0,1
11,1,0,0
12,1,1,0
13,1,1,1
14,1,1,0
15,1,1,1
16,0,0,1
17,0,0,0
18,1,0,1
19,1,0,0
20,1,1,0
21,1,1,1
22,1,1,1
23,1,1,1
24,0,0,0
25,0,0,1
26,1,0,1
27,1,0,0
28,1,1,0
29,1,1,1
30,1,1,0
31,1,1,0
32,0,0,0
33,0,0,1
34,1,0,1
35,0,0,1
36,1,1,0
37,1,1,1
38,1,1,1
39,1,1,0
40,0,0,1
41,0,0,0
42,1,0,1
43,0,0,1
44,1,1,0
45,1,1,1
46,1,1,0
47,1,1,1
48,0,0,1
49,0,0,0
50,1,0,1
51,0,0,1
52,1,1,0
53,1,1,1
54,1,1,1
55,1,1,1
56,0,0,0
57,0,0,1
58,1,0,1
59,0,0,0
60,1,1,0
61,1,1,1
62,1,1,1
63,1,1,0
64,0,0,1
65,0,0,0
66,1,0,1
67,0,0,0
68,1,1,0
69,1,1,1
70,1,1,0
71,1,1,1
72,0,0,0
73,0,0,1
74,1,0,1
75,0,0,0
76,1,1,0
77,1,1,1
78,1,0,0
79,1,1,0
80,0,0,0
81,0,0,0
82,1,0,1
83,0,0,1
84,1,1,0
85,1,1,1
86,1,1,0
87,1,0,0
88,0,0,1
89,0,0,0
90,1,0,1
91,0,0,0
92,1,1,0
93,1,1,1
94,1,0,0
95,1,1,1
96,0,0,0
97,0,0,0
98,1,0,1
99,0,0,1
100,1,1,0
101,1,1,1
102,1,1,1
103,1,0,0
104,0,0,1
105,0,0,1
106,1,0,1
107,0,0,0
108,1,1,0
109,1,1,1
110,1,1,1
111,1,1,1
112,0,0,1
113,0,0,1
114,1,0,1
115,0,0,0
116,1,1,0
117,1,1,1
118,1,0,0
119,1,1,1
120,0,0,0
121,0,0,1
122,1,0,1
123,0,0,1
124,1,1,0
125,1,1,1
126,1,1,1
127,1,0,0
128,0,0,0
129,0,0,1
130,1,0,1
131,0,0,1
132,1,1,0
133,1,1,1
134,1,1,0
135,1,1,0
136,0,0,1
137,0,0,1
138,1,0,1
139,0,0,0
140,1,1,0
141,1,1,1
142,1,1,0
143,1,1,0
144,0,0,1
145,0,0,1
146,1,0,1
147,0,0,0
148,1,1,0
149,1,1,1
150,1,0,0
151,1,1,0
152,0,0,1
153,0,0,0
154,1,0,1
155,0,0,1
156,1,1,0
157,1,1,1
158,1,1,0
159,1,0,0
160,0,0,0
161,0,0,1
162,0,0,1
163,1,0,0
164,1,1,0
165,1,1,1
166,1,1,1
167,1,1,0
168,0,0,1
169,0,0,0
170,0,0,1
171,1,0,0
172,1,1,0
173,1,1,1
174,1,1,0
175,1,1,1
176,0,0,1
177,0,0,0
178,0,0,1
179,1,0,0
180,1,1,0
181,1,1,1
182,1,1,1
183,1,1,1
184,0,0,0
185,0,0,1
186,0,0,0
187,1,0,0
188,1,1,0
189,1,1,1
190,1,1,1
191,1,1,0
192,0,0,1
193,0,0,0
194,0,0,0
195,1,0,0
196,1,1,0
197,1,1,1
198,1,1,0
199,1,1,1
200,0,0,0
201,0,0,1
202,0,0,0
203,1,0,0
204,1,1,0
205,1,1,1
206,1,0,1
207,1,1,0
208,0,0,0
209,0,0,0
210,0,0,1
211,1,0,0
212,1,1,0
213,1,1,1
214,1,1,0
215,1,0,1
216,0,0,1
217,0,0,0
218,0,0,0
219,1,0,0
220,1,1,0
221,1,1,1
222,1,0,1
223,1,1,1
224,0,0,0
225,0,0,0
226,0,0,1
227,1,0,0
228,1,1,0
229,1,1,1
230,1,1,1
231,1,0,1
232,0,0,1
233,0,0,1
234,0,0,0
235,1,0,0
236,1,1,0
237,1,1,1
238,1,1,1
