,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,8,2,2,8,2,2,3,2,4,3,2,4,8,8,8,8,8,8,3,8,2,3,8,2
1,8,2,2,8,2,2,3,2,4,3,2,4,8,8,8,8,8,8,3,8,2,3,8,2
2,8,2,2,8,4,2,1,2,2,3,4,2,8,8,8,8,8,8,1,8,2,3,8,2
3,8,2,2,8,4,2,1,2,2,3,4,2,8,8,8,8,8,8,1,8,2,3,8,2
4,8,2,2,8,2,2,1,2,2,3,2,2,8,8,8,8,8,8,1,8,2,3,8,2
5,8,2,2,8,2,2,1,2,2,3,2,2,8,8,8,8,8,8,1,8,2,3,8,2
6,8,2,2,8,2,2,1,2,4,1,2,4,8,8,8,8,8,8,1,8,2,1,8,2
7,8,2,2,8,2,2,1,2,4,1,2,4,8,8,8,8,8,8,1,8,2,1,8,2
8,8,2,2,8,2,2,1,2,2,1,2,2,8,8,8,8,8,8,1,8,2,1,8,2
9,8,2,2,8,2,2,1,2,2,1,2,2,8,8,8,8,8,8,1,8,2,1,8,2
10,8,4,2,8,2,2,1,4,2,1,2,2,8,8,8,8,8,8,1,8,2,1,8,2
11,8,4,2,8,2,2,1,4,2,1,2,2,8,8,8,8,8,8,1,8,2,1,8,2
12,8,2,2,8,4,2,1,2,2,1,4,2,8,8,8,8,8,8,1,8,2,1,8,2
13,8,2,2,8,4,2,1,2,2,1,4,2,8,8,8,8,8,8,1,8,2,1,8,2
14,8,2,2,8,2,2,3,2,2,1,2,2,8,8,8,8,8,8,3,8,2,1,8,2
15,8,2,2,8,2,2,3,2,2,1,2,2,8,8,8,8,8,8,3,8,2,1,8,2
16,8,2,4,8,2,4,1,2,2,1,2,2,8,8,8,8,8,8,1,8,2,1,8,2
17,8,2,4,8,2,4,1,2,2,1,2,2,8,8,8,8,8,8,1,8,2,1,8,2
18,8,2,2,8,2,2,1,2,2,1,2,2,8,8,8,8,8,8,1,8,2,1,8,2
19,8,2,2,8,2,2,1,2,2,1,2,2,8,8,8,8,8,8,1,8,2,1,8,2
20,8,4,2,8,2,2,3,4,2,1,2,2,8,8,8,8,8,8,3,8,2,1,8,2
21,8,4,2,8,2,2,3,4,2,1,2,2,8,8,8,8,8,8,3,8,2,1,8,2
22,8,2,4,8,2,4,1,2,2,1,2,2,8,8,8,8,8,8,1,8,2,1,8,2
23,8,2,4,8,2,4,1,2,2,1,2,2,8,8,8,8,8,8,1,8,2,1,8,2
24,2,2,2,8,8,2,3,2,8,8,8,8,2,1,8,8,8,8,3,1,2,8,8,2
25,2,2,2,8,8,2,3,2,8,8,8,8,2,1,8,8,8,8,3,1,2,8,8,2
26,2,2,2,8,8,2,1,2,8,8,8,8,2,1,8,8,8,8,1,1,2,8,8,2
27,2,2,2,8,8,2,1,2,8,8,8,8,2,1,8,8,8,8,1,1,2,8,8,2
28,4,2,2,8,8,2,1,2,8,8,8,8,4,1,8,8,8,8,1,1,2,8,8,2
29,4,2,2,8,8,2,1,2,8,8,8,8,4,1,8,8,8,8,1,1,2,8,8,2
30,2,2,2,8,8,2,1,2,8,8,8,8,2,3,8,8,8,8,1,3,2,8,8,2
31,2,2,2,8,8,2,1,2,8,8,8,8,2,3,8,8,8,8,1,3,2,8,8,2
32,2,2,2,8,8,2,1,2,8,8,8,8,2,1,8,8,8,8,1,1,2,8,8,2
33,2,2,2,8,8,2,1,2,8,8,8,8,2,1,8,8,8,8,1,1,2,8,8,2
34,2,4,2,8,8,2,1,4,8,8,8,8,2,1,8,8,8,8,1,1,2,8,8,2
35,2,4,2,8,8,2,1,4,8,8,8,8,2,1,8,8,8,8,1,1,2,8,8,2
36,2,2,2,8,8,2,1,2,8,8,8,8,2,3,8,8,8,8,1,3,2,8,8,2
37,2,2,2,8,8,2,1,2,8,8,8,8,2,3,8,8,8,8,1,3,2,8,8,2
38,2,2,2,8,8,2,3,2,8,8,8,8,2,1,8,8,8,8,3,1,2,8,8,2
39,2,2,2,8,8,2,3,2,8,8,8,8,2,1,8,8,8,8,3,1,2,8,8,2
40,2,2,4,8,8,4,1,2,8,8,8,8,2,1,8,8,8,8,1,1,2,8,8,2
41,2,2,4,8,8,4,1,2,8,8,8,8,2,1,8,8,8,8,1,1,2,8,8,2
42,4,2,2,8,8,2,1,2,8,8,8,8,4,3,8,8,8,8,1,3,2,8,8,2
43,4,2,2,8,8,2,1,2,8,8,8,8,4,3,8,8,8,8,1,3,2,8,8,2
44,2,4,2,8,8,2,3,4,8,8,8,8,2,1,8,8,8,8,3,1,2,8,8,2
45,2,4,2,8,8,2,3,4,8,8,8,8,2,1,8,8,8,8,3,1,2,8,8,2
46,2,2,4,8,8,4,1,2,8,8,8,8,2,1,8,8,8,8,1,1,2,8,8,2
47,2,2,4,8,8,4,1,2,8,8,8,8,2,1,8,8,8,8,1,1,2,8,8,2
48,2,8,2,8,2,2,8,8,8,1,2,8,2,1,8,8,8,8,8,1,2,1,8,2
49,2,8,2,8,2,2,8,8,8,1,2,8,2,1,8,8,8,8,8,1,2,1,8,2
50,2,8,2,8,2,2,8,8,8,1,2,8,2,1,8,8,8,8,8,1,2,1,8,2
51,2,8,2,8,2,2,8,8,8,1,2,8,2,1,8,8,8,8,8,1,2,1,8,2
52,4,8,2,8,2,2,8,8,8,1,2,8,4,1,8,8,8,8,8,1,2,1,8,2
53,4,8,2,8,2,2,8,8,8,1,2,8,4,1,8,8,8,8,8,1,2,1,8,2
54,2,8,2,8,2,2,8,8,8,3,2,8,2,3,8,8,8,8,8,3,2,3,8,2
55,2,8,2,8,2,2,8,8,8,3,2,8,2,3,8,8,8,8,8,3,2,3,8,2
56,2,8,2,8,4,2,8,8,8,3,4,8,2,1,8,8,8,8,8,1,2,3,8,2
57,2,8,2,8,4,2,8,8,8,3,4,8,2,1,8,8,8,8,8,1,2,3,8,2
